level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	5	1	1	1	394	711	116	22	53	Variabilný
5	1	5	1	1	2	518	712	90	21	96	symbol:
5	1	5	1	1	3	791	712	137	17	95	0296527245
5	1	5	1	1	4	957	723	67	19	96	Suma
5	1	5	1	1	5	1033	728	27	13	96	na
5	1	5	1	1	6	1069	723	88	18	96	úhradu:
5	1	5	1	1	7	1452	723	62	22	89	21,19
5	1	5	1	1	8	1522	723	14	19	89	€
